month,premium_collected,approved_claim_amount,loss_ratio
2024-01-01,3863238.34,2790410.07,0.7222981924537434
2024-02-01,2028322.57,1340241.21,0.6607633469266182
2024-03-01,1961917.16,1087359.92,0.5542333499952669
2024-04-01,1521698.87,937520.38,0.6161011212422074
2024-05-01,1323905.15,879383.11,0.6642342240303243
2024-06-01,1253015.61,771461.37,0.6156837663020016
2024-07-01,1284931.95,838165.5,0.6523034157567644
2024-08-01,1140650.01,738023.16,0.6470198163589198
2024-09-01,1029994.19,740477.37,0.7189141231951998
2024-10-01,1112728.84,589529.58,0.5298052488690775
2024-11-01,1007027.14,594235.09,0.5900884558086488
2024-12-01,1089278.53,590179.32,0.5418075393444135
2025-01-01,1007077.21,657871.97,0.6532487911229765
2025-02-01,985084.03,671973.85,0.682148760446355
2025-03-01,1092545.26,716522.13,0.6558283269656032
2025-04-01,1057805.97,566005.13,0.5350746224281566
2025-05-01,1043171.22,666486.21,0.6389039471391859
2025-06-01,1090471.65,631752.34,0.5793386192112376
2025-07-01,1018103.1,693069.54,0.6807459283838739
2025-08-01,1087233.69,928216.52,0.8537414987572728
2025-09-01,988871.57,571996.65,0.5784337090406998
2025-10-01,1058858.97,760090.35,0.7178390810628917
2025-11-01,1192165.54,643683.24,0.5399277352036195
2025-12-01,1155836.91,743287.45,0.6430729487605652
2026-01-01,1247399.39,712374.83,0.571088005742892
2026-02-01,1114713.66,878412.47,0.7880162426645063
2026-03-01,1453115.2,1054418.01,0.7256258898124526
2026-04-01,1481457.98,1014476.4,0.6847824330461266
2026-05-01,1985287.36,1177009.03,0.5928658257311425
2026-06-01,2290798.09,1605336.26,0.7007759727964502
2026-07-01,3396556.88,2434345.26,0.716709699264627
